species;MPIAM10_1_S_Jena14;MPIAM1_2_S_MBCF11;MPIAM1_3_S_Jena148;MPIAM1_4_S_MBCF18;MPIAM2_1_S_MBCF48;MPIAM2_3_S_MBCF127;MPIAM3_1_S_MBCF66;MPIAM4_1_S_MBCF37;MPIAM4_2_S_MBCF58;MPIAM4_3_S_MBCF70;MPIAM5_1_S_MBCF10;MPIAM5_5_S_MBCF73;MPIAM5_6_S_Jena17;MPIAM6_2_S_Jena23;MPIAM7_1_S_MBCF9;MPIAM7_2_S_MBCF16;MPIAM7_3_S_MBCF27;MPIAM7_4_S_MBCF45;MPIAM7_5_S_MBCF63;MPIAM7_6_S_Jena13;MPIAM7_7_S_Jena22;MPIAM8_1_S_Jena24;MPIAM9_1_S_Jena29;MPIAW10_1_S_Jena98;MPIAW10_2_S_Jena147B;MPIAW12_1_S_MBCF129;MPIAW2_1_S_MBCF64;MPIAW4_1_S_MBCF61;MPIAW8_1_S_Jena110;MPIBM1_1_S_MBCF19;MPIBM1_3_S_MBCF49;MPIBM1_4_S_MBCF55;MPIBM5_1_S_Jena165;MPIBM6_1_S_Jena25;MPIBM6_2_S_Jena112;MPIBW1_1_S_MBCF59;MPIBW1_2_S_MBCF65;MPICM1_3_S_MBCF36;MPICM2_1_S_MBCF41;MPICM3_1_S_Jena164;MPICM4_1_S_Jena30;MPICM5_1_S_Jena111;MPICM6_1_S_MBCF54;MPICW1_1_S_MBCF50;MPICW1_2_S_Jena27;MPICW2_3_S_MBCF32;MPICW3_1_S_MBCF29;MPICW4_1_S_MBCF46;MPICW4_2_S_Jena21;MPICW4_3_S_Jena101;MPICW5_1_S_MBCF53;MPICW6_1_S_Jena16;MPICW7_1_S_Jena100;MPSAM1_2_S_MBCF15;MPSAM1_3_S_MBCF38;MPSAM1_4_S_MBCF51;MPSAM1_5_S_MBCF62;MPSAM1_7_S_Jena20;MPSAM5_2_S_Jena26;MPSAW1_4_S_MBCF17;MPSAW2_3_S_MBCF44;MPSAW2_4_S_MBCF52;MPSAW2_5_S_MBCF57;MPSAW2_6_S_MBCF69;MPSAW2_7_S_Jena11;MPSAW2_8_S_Jena19;MPSBM2_1_S_MBCF33;MPSBM4_1_S_MBCF60;MPSBM4_2_S_Jena99;MPSBW1_1_S_MBCF21;MPSBW1_3_S_MBCF42;MPSBW2_1_S_MBCF67;MPSBW2_2_S_Jena31;MPSCM3_1_S_Jena28;MPSCW1_3_S_MBCF47;MPSCW1_4_S_Jena146B;MPSCW2_1_S_MBCF68
Staphylococcus aureus;0;266670.204;584.72935;136031.604;0;235726.6603;246474.2816;340400.2292;74404.66834;0;0;204321.6448;211210.4394;131499.1659;8481.15195;13743.85582;50320.03219;77799.5361;52204.13838;40936.80234;62395.30217;0;0;8961.2985;215083.7989;315355.9785;25287.85319;0;16514.88406;0;381.23336;0;91267.73967;171312.3432;22544.69992;339959.6622;336231.6583;0;0;0;0;0;4506.52698;332758.0362;297550.0109;0;0;0;0;0;192473.0894;38826.47218;0;0;11217.66813;144.06421;0;0;0;0;0;15005.6554;0;0;190120.7204;0;147596.2341;0;0;915.31896;0;149415.9572;59601.712;134690.1069;0;0;0
Pseudomonas aeruginosa;0;253.20278;0;0;98.2039;0;0;0;0;0;151699.1636;53689.30059;50653.66863;0;81534.59064;142273.988;131561.2916;93818.98087;91709.18596;130442.2683;120138.6175;0;0;0;0;0;0;155514.0711;0;156259.7731;136493.5588;156335.758;30184.21911;67451.00031;138943.6054;0;0;34.17815;148714.649;69857.88728;115038.0801;154889.4835;131125.1047;4874.46253;17933.52951;83430.18883;155564.4524;14755.46226;87626.5472;74070.90512;0;0;121138.5542;0;0;0;0;0;0;0;0;0;0;0;0;0;88725.17817;0;0;336.81623;249.49911;0;0;0;149915.3048;157110.8298;132773.4738
Rothia mucilaginosa;3265.72304;13780.36242;13308.59081;35699.41486;234192.3723;54405.43479;3041.38032;1626.79426;3301.48835;50455.37341;11997.64793;11357.77599;8131.09791;61235.93549;83156.54008;3391.37193;1426.26182;61493.82943;12717.59317;9879.89393;6900.972;24569.50532;184495.4625;4577.65185;464.31414;0;6953.16962;547.00576;68327.46265;0;4537.96719;0;0;2908.47779;457.11164;2885.05572;2029.8057;1299.39708;0;33944.90634;5891.89526;352.55582;2718.75944;937.93705;3220.7481;0;586.64515;36773.71384;51220.63861;24158.05449;11524.28593;7376.55398;462.07446;106068.0106;18779.81784;16500.67156;8078.37745;12854.50062;54210.3605;55961.45226;75672.87785;224078.0482;0;101665.4598;29393.15502;52815.35747;0;9396.41389;16346.05476;30624.31991;105312.1405;0;0;1061.16433;4325.56727;1017.24038;4885.26192
Haemophilus influenzae;468349.7693;0;15680.4654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;387295.3855;0;0;0;0;0;0;27332.54792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135.71061;22018.9082;0;0;0;0;0;0;0;0;0;0;469097.234;454551.9189;1367.54887;0;0;0;239.31786;0;0;0
Rothia dentocariosa;206.58796;11619.19693;17433.79766;4514.30175;0;10865.30832;3395.87738;0;62529.29667;110855.0637;0;524.28457;4615.80778;0;0;197.23866;0;0;25359.14075;3443.99861;4665.78025;554.53388;2142.34661;0;0;0;894.54671;483.25218;7637.2577;0;784.09996;0;179698.431;2450.52137;523.33619;1972.68589;2035.38918;7922.27418;8471.71958;2747.59218;885.1886;1713.46368;0;438.2812;4682.59907;0;177.7755;43344.85186;3346.78074;1862.88756;3059.96923;426.76222;0;3275.069;61890.86792;6477.84352;38331.90961;6155.98886;44088.33937;37001.5949;0;0;0;16884.81675;67179.24283;225656.5754;0;2291.13989;1249.43737;27126.35202;8391.60839;0;553.55553;30338.65675;0;0;104.57496
Prevotella melaninogenica;3525.74715;4819.76509;64172.3356;2678.20019;0;21226.25275;0;0;0;0;0;3260.70395;2286.72765;97114.87792;0;0;3824.89251;0;7813.08528;4007.39342;0;7408.28449;5302.93091;0;0;0;15688.7449;0;30268.87977;0;0;0;0;2477.52734;0;0;556.48038;1228.6025;891.55706;607.35889;0;858.40968;0;475.54348;0;0;0;116434.5653;371.95763;0;32349.61145;40641.89479;0;19301.84805;16452.00486;37399.88031;2610.76806;0;12958.86525;40701.37025;0;133436.3008;0;98630.13699;2876.30673;8948.73437;0;0;840.0996;2426.26886;0;8645.70738;12323.14505;5837.44342;0;0;4803.3802
Streptococcus parasanguinis;7230.02486;2097.97297;16220.93998;68850.63904;0;342.17258;0;2037.63333;7010.69619;19168.34677;563.83644;5083.88409;2516.39245;662.97938;14815.79348;538.9992;2158.77599;7749.85474;6558.70024;3172.08651;716.1527;7792.59259;752.89998;0;0;0;25947.055;828.46841;29608.15367;0;617.20866;0;0;3743.44389;794.71467;0;591.10565;17962.44594;6655.18477;86140.01698;13162.90157;1313.72532;0;617.92523;259.37454;0;768.6641;7025.57802;14105.91917;14354.92144;74557.32549;21720.96311;993.49571;0;19104.08432;26473.00471;11485.63166;6239.36472;41135.82584;16932.27678;0;0;0;0;0;0;0;5353.06833;8945.27723;49535.18307;139608.5331;0;0;15738.67959;4457.32013;937.55219;3066.46716
Streptococcus salivarius;642.80162;2557.43532;127253.8546;87914.00141;0;0;0;0;0;0;687.72634;1143.30527;439.92348;0;4344.40041;281.19389;0;0;3863.32505;435.70432;518.43055;3999.61511;21243.97629;0;0;0;0;0;10225.71734;0;0;0;4897.07921;842.04466;1615.67164;0;0;89888.11203;3288.94407;38849.7222;377.10926;0;0;0;285.18311;0;401.62389;0;6996.79336;5865.47716;15238.24193;17939.79968;402.28668;34981.22653;33784.2508;95283.66121;41024.73809;12497.03955;48522.29241;20135.46091;0;0;0;0;0;0;0;7239.38224;5000.61584;30418.72779;18596.67916;0;0;42154.17136;0;178.98482;1987.28419
Stenotrophomonas maltophilia;0;0;0;0;0;0;0;2758.62886;113871.2832;74172.3426;0;0;0;0;0;0;0;0;0;0;0;0;0;194246.9277;76281.59517;0;67987.74741;0;0;0;0;0;0;405.21739;3549.85303;0;4428.96103;0;0;0;0;0;6266.51378;0;0;0;0;20552.19564;12480.62803;35291.74978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Veillonella parvula;1635.63473;9708.57221;23204.35308;5021.76041;0;556.44814;0;0;6172.83951;8619.28521;269.89249;710.37316;3910.98063;1983.12861;6493.85312;7869.8256;1761.85548;550.24333;15524.81393;1299.97791;4812.64429;419.00138;6594.59698;0;0;44980.45351;56599.10024;0;6731.68718;0;9334.41758;0;391.16551;1266.62563;0;0;512.92326;4120.70268;791.39223;1706.67109;485.96232;0;1465.08395;0;0;0;1414.54835;14756.87263;1019.18465;930.70561;291.33128;15515.1066;439.03663;25951.55709;30229.82034;32587.76344;48959.47426;61897.35614;2906.44868;4076.41038;30989.01099;33590.36534;0;15230.76923;3609.61206;2178.11098;0;479.15087;554.57249;27484.83097;8186.16017;0;6610.85582;321.6212;1368.60053;102.75286;714.71493
